value,description
17,0
1,1 Day
2,2 Days
3,3 Days
4,4 Days
5,5 Days
6,6 Days
7,7 Days
8,8 Days
9,9 Days
10,10 Days
11,11 Days
12,12 Days
13,13 Days
14,14 Days
15,15 Days
16,&Gt;15 Days
98,No Specific Pattern
99,Not Known
value,description
17,0
1,1 Day
2,2 Days
3,3 Days
4,4 Days
5,5 Days
6,6 Days
7,7 Days
8,8 Days
9,9 Days
10,10 Days
11,11 Days
12,12 Days
13,13 Days
14,14 Days
15,15 Days
16,&Gt;15 Days
98,No Specific Pattern
99,Not Known
value,description
17,0
1,1 Day
2,2 Days
3,3 Days
4,4 Days
5,5 Days
6,6 Days
7,7 Days
8,8 Days
9,9 Days
10,10 Days
11,11 Days
12,12 Days
13,13 Days
14,14 Days
15,15 Days
16,&Gt;15 Days
98,No Specific Pattern
99,Not Known
value,description
17,0
1,1 Day
2,2 Days
3,3 Days
4,4 Days
5,5 Days
6,6 Days
7,7 Days
8,8 Days
9,9 Days
10,10 Days
11,11 Days
12,12 Days
13,13 Days
14,14 Days
15,15 Days
16,&Gt;15 Days
98,No Specific Pattern
99,Not Known
value,description
17,0
1,1 Day
2,2 Days
3,3 Days
4,4 Days
5,5 Days
6,6 Days
7,7 Days
8,8 Days
9,9 Days
10,10 Days
11,11 Days
12,12 Days
13,13 Days
14,14 Days
15,15 Days
16,&Gt;15 Days
98,No Specific Pattern
99,Not Known
value,description
17,0
1,1 Day
2,2 Days
3,3 Days
4,4 Days
5,5 Days
6,6 Days
7,7 Days
8,8 Days
9,9 Days
10,10 Days
11,11 Days
12,12 Days
13,13 Days
14,14 Days
15,15 Days
16,&Gt;15 Days
98,No Specific Pattern
99,Not Known
value,description
17,0
1,1 Day
2,2 Days
3,3 Days
4,4 Days
5,5 Days
6,6 Days
7,7 Days
8,8 Days
9,9 Days
10,10 Days
11,11 Days
12,12 Days
13,13 Days
14,14 Days
15,15 Days
16,&Gt;15 Days
98,No Specific Pattern
99,Not Known
value,description
17,0
1,1 Day
2,2 Days
3,3 Days
4,4 Days
5,5 Days
6,6 Days
7,7 Days
8,8 Days
9,9 Days
10,10 Days
11,11 Days
12,12 Days
13,13 Days
14,14 Days
15,15 Days
16,&Gt;15 Days
98,No Specific Pattern
99,Not Known
value,description
17,0
1,1 Day
2,2 Days
3,3 Days
4,4 Days
5,5 Days
6,6 Days
7,7 Days
8,8 Days
9,9 Days
10,10 Days
11,11 Days
12,12 Days
13,13 Days
14,14 Days
15,15 Days
16,&Gt;15 Days
98,No Specific Pattern
99,Not Known
