value,description
1,Autosomic Dominant
2,Recessive
3,X-Linked
99,Unknown
value,description
1,Autosomic Dominant
2,Recessive
3,X-Linked
99,Unknown
value,description
1,Autosomic Dominant
2,Recessive
3,X-Linked
99,Unknown
value,description
1,Autosomic Dominant
2,Recessive
3,X-Linked
99,Unknown
value,description
1,Autosomic Dominant
2,Recessive
3,X-Linked
99,Unknown
value,description
1,Autosomic Dominant
2,Recessive
3,X-Linked
99,Unknown
value,description
1,Autosomic Dominant
2,Recessive
3,X-Linked
99,Unknown
value,description
1,Autosomic Dominant
2,Recessive
3,X-Linked
99,Unknown
value,description
1,Autosomic Dominant
2,Recessive
3,X-Linked
99,Unknown
value,description
1,Autosomic Dominant
2,Recessive
3,X-Linked
99,Unknown
value,description
1,Autosomic Dominant
2,Recessive
3,X-Linked
99,Unknown
value,description
1,Autosomic Dominant
2,Recessive
3,X-Linked
99,Unknown
value,description
1,Autosomic Dominant
2,Recessive
3,X-Linked
99,Unknown
value,description
1,Autosomic Dominant
2,Recessive
3,X-Linked
99,Unknown
