value,description
1,Continuous
2,Recurrent
3,Continuous And Recurrent
4,Complete Clinical Remission
value,description
1,Continuous
2,Recurrent
3,Continuous And Recurrent
4,Complete Clinical Remission
value,description
1,Continuous
2,Recurrent
3,Continuous And Recurrent
4,Complete Clinical Remission
value,description
1,Continuous
2,Recurrent
3,Continuous And Recurrent
4,Complete Clinical Remission
value,description
1,Continuous
2,Recurrent
3,Continuous And Recurrent
4,Complete Clinical Remission
value,description
1,Continuous
2,Recurrent
3,Continuous And Recurrent
4,Complete Clinical Remission
value,description
1,Continuous
2,Recurrent
3,Continuous And Recurrent
4,Complete Clinical Remission
value,description
1,Continuous
2,Recurrent
3,Continuous And Recurrent
4,Complete Clinical Remission
value,description
1,Continuous
2,Recurrent
3,Continuous And Recurrent
4,Complete Clinical Remission
value,description
1,Continuous
2,Recurrent
3,Continuous And Recurrent
4,Complete Clinical Remission
value,description
1,Continuous
2,Recurrent
3,Continuous And Recurrent
4,Complete Clinical Remission
value,description
1,Continuous
2,Recurrent
3,Continuous And Recurrent
4,Complete Clinical Remission
value,description
1,Continuous
2,Recurrent
3,Continuous And Recurrent
4,Complete Clinical Remission
value,description
1,Continuous
2,Recurrent
3,Continuous And Recurrent
4,Complete Clinical Remission
