value,description
1,Regular Periodic
2,Irregular Non Periodic
99,Not Known
value,description
1,Regular Periodic
2,Irregular Non Periodic
99,Not Known
value,description
1,Regular Periodic
2,Irregular Non Periodic
99,Not Known
value,description
1,Regular Periodic
2,Irregular Non Periodic
99,Not Known
value,description
1,Regular Periodic
2,Irregular Non Periodic
99,Not Known
value,description
1,Regular Periodic
2,Irregular Non Periodic
99,Not Known
value,description
1,Regular Periodic
2,Irregular Non Periodic
99,Not Known
value,description
1,Regular Periodic
2,Irregular Non Periodic
99,Not Known
value,description
1,Regular Periodic
2,Irregular Non Periodic
99,Not Known
value,description
1,Regular Periodic
2,Irregular Non Periodic
99,Not Known
value,description
1,Regular Periodic
2,Irregular Non Periodic
99,Not Known
value,description
1,Regular Periodic
2,Irregular Non Periodic
99,Not Known
value,description
1,Regular Periodic
2,Irregular Non Periodic
99,Not Known
value,description
1,Regular Periodic
2,Irregular Non Periodic
99,Not Known
