value,description
1,Yes
2,Asymptomatic Carrier
0,No
99,Unknown
value,description
1,Yes
2,Asymptomatic Carrier
0,No
99,Unknown
value,description
1,Yes
2,Asymptomatic Carrier
0,No
99,Unknown
value,description
1,Yes
2,Asymptomatic Carrier
0,No
99,Unknown
value,description
1,Yes
2,Asymptomatic Carrier
0,No
99,Unknown
value,description
1,Yes
2,Asymptomatic Carrier
0,No
99,Unknown
value,description
1,Yes
2,Asymptomatic Carrier
0,No
99,Unknown
value,description
1,Yes
2,Asymptomatic Carrier
0,No
99,Unknown
value,description
1,Yes
2,Asymptomatic Carrier
0,No
99,Unknown
value,description
1,Yes
2,Asymptomatic Carrier
0,No
99,Unknown
value,description
1,Yes
2,Asymptomatic Carrier
0,No
99,Unknown
value,description
1,Yes
2,Asymptomatic Carrier
0,No
99,Unknown
value,description
1,Yes
2,Asymptomatic Carrier
0,No
99,Unknown
value,description
1,Yes
2,Asymptomatic Carrier
0,No
99,Unknown
