value,description
1,Yes
0,No
99,Unknown
value,description
1,Yes
0,No
99,Unknown
value,description
1,Yes
0,No
99,Unknown
value,description
1,Yes
0,No
99,Unknown
value,description
1,Yes
0,No
99,Unknown
value,description
1,Yes
0,No
99,Unknown
value,description
1,Yes
0,No
99,Unknown
value,description
1,Yes
0,No
99,Unknown
value,description
1,Yes
0,No
99,Unknown
value,description
1,Yes
0,No
99,Unknown
value,description
1,Yes
0,No
99,Unknown
value,description
1,Yes
0,No
99,Unknown
value,description
1,Yes
0,No
99,Unknown
value,description
1,Yes
0,No
99,Unknown
