OLINK_V1_protocol.docx	aaaadcep6lza2ascvmhb4vaaae
EPIC_V1_protocol.docx	aaaadcep6phueascvmhb4vaaae
NanoString_V1_protocol.docx	aaaadce3hfdo4ascvmhb4vaaae
qPCR_V1_protocol.docx	aaaadce3h4yvqascvmhb4vaaai
16K_V1_protocol.docx	aaaaddcd3kcvwascigymwaiaae
AIT_16K_run1_3_combat.metadata	aaaaddcd3kjhsascigymwaiaai
experiment3_OLINK.metadata	aaaaddcd3rqgsascigymwaiaai
experiment2_OLINK.metadata	aaaaddcd3utx2ascigymwaiaai
experiment1_OLINK.metadata	aaaaddcd3vsx2ascigymwaiaai
EPIC.metadata	aaaaddcd3zdmuascigymwaiaae
NanoString_data.csv	garr-cloud:persaids/nanostring/NanoString_data.csv
qPCR_data.csv	garr-cloud:persaids/qpcr/qPCR_data.csv
AIT_16K_run1_3_combat.csv	garr-cloud:persaids/16k/AIT_16K_run1_3_combat.csv
experiment3_OLINK.csv	garr-cloud:persaids/olink/experiment3_OLINK.csv
experiment2_OLINK.csv	garr-cloud:persaids/olink/experiment2_OLINK.csv
experiment1_OLINK.csv	garr-cloud:persaids/olink/experiment1_OLINK.csv
EPIC.csv	garr-cloud:persaids/epic/EPIC.csv
